date,Germany,India,United Kingdom
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-11,,,
2020-07-12,,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,,,
2020-07-19,,,
2020-07-20,,,
2020-07-21,,,
2020-07-22,,,
2020-07-23,,,
2020-07-24,,,
2020-07-25,,,
2020-07-26,,,
2020-07-27,,,
2020-07-28,,,
2020-07-29,,,
2020-07-30,,,
2020-07-31,,,
2020-08-01,,,
2020-08-02,,,
2020-08-03,,,
2020-08-04,,,
2020-08-05,,,
2020-08-06,,,
2020-08-07,,,
2020-08-08,,,
2020-08-09,,,
2020-08-10,,,
2020-08-11,,,
2020-08-12,,,
2020-08-13,,,
2020-08-14,,,
2020-08-15,,,
2020-08-16,,,
2020-08-17,,,
2020-08-18,,,
2020-08-19,,,
2020-08-20,,,
2020-08-21,,,
2020-08-22,,,
2020-08-23,,,
2020-08-24,,,
2020-08-25,,,
2020-08-26,,,
2020-08-27,,,
2020-08-28,,,
2020-08-29,,,
2020-08-30,,,
2020-08-31,,,
2020-09-01,,,
2020-09-02,,,
2020-09-03,,,
2020-09-04,,,
2020-09-05,,,
2020-09-06,,,
2020-09-07,,,
2020-09-08,,,
2020-09-09,,,
2020-09-10,,,
2020-09-11,,,
2020-09-12,,,
2020-09-13,,,
2020-09-14,,,
2020-09-15,,,
2020-09-16,,,
2020-09-17,,,
2020-09-18,,,
2020-09-19,,,
2020-09-20,,,
2020-09-21,,,
2020-09-22,,,
2020-09-23,,,
2020-09-24,,,
2020-09-25,,,
2020-09-26,,,
2020-09-27,,,
2020-09-28,,,
2020-09-29,,,
2020-09-30,,,
2020-10-01,,,
2020-10-02,,,
2020-10-03,,,
2020-10-04,,,
2020-10-05,,,
2020-10-06,,,
2020-10-07,,,
2020-10-08,,,
2020-10-09,,,
2020-10-10,,,
2020-10-11,,,
2020-10-12,,,
2020-10-13,,,
2020-10-14,,,
2020-10-15,,,
2020-10-16,,,
2020-10-17,,,
2020-10-18,,,
2020-10-19,,,
2020-10-20,,,
2020-10-21,,,
2020-10-22,,,
2020-10-23,,,
2020-10-24,,,
2020-10-25,,,
2020-10-26,,,
2020-10-27,,,
2020-10-28,,,
2020-10-29,,,
2020-10-30,,,
2020-10-31,,,
2020-11-01,,,
2020-11-02,,,
2020-11-03,,,
2020-11-04,,,
2020-11-05,,,
2020-11-06,,,
2020-11-07,,,
2020-11-08,,,
2020-11-09,,,
2020-11-10,,,
2020-11-11,,,
2020-11-12,,,
2020-11-13,,,
2020-11-14,,,
2020-11-15,,,
2020-11-16,,,
2020-11-17,,,
2020-11-18,,,
2020-11-19,,,
2020-11-20,,,
2020-11-21,,,
2020-11-22,,,
2020-11-23,,,
2020-11-24,,,
2020-11-25,,,
2020-11-26,,,
2020-11-27,,,
2020-11-28,,,
2020-11-29,,,
2020-11-30,,,
2020-12-01,,,
2020-12-02,,,
2020-12-03,,,
2020-12-04,,,
2020-12-05,,,
2020-12-06,,,
2020-12-07,,,
2020-12-08,,,
2020-12-09,,,
2020-12-10,,,
2020-12-11,,,
2020-12-12,,,
2020-12-13,,,
2020-12-14,,,
2020-12-15,,,
2020-12-16,,,
2020-12-17,,,
2020-12-18,,,
2020-12-19,,,
2020-12-20,,,
2020-12-21,,,
2020-12-22,,,
2020-12-23,,,
2020-12-24,,,
2020-12-25,,,
2020-12-26,,,
2020-12-27,,,
2020-12-28,,,
2020-12-29,,,
2020-12-30,,,
2020-12-31,,,
2021-01-01,,,
2021-01-02,,,
2021-01-03,,,
2021-01-04,,,
2021-01-05,,,
2021-01-06,,,
2021-01-07,,,
2021-01-08,,,
2021-01-09,,,
2021-01-10,,,0.57
2021-01-11,,,0.6
2021-01-12,,,0.63
2021-01-13,,,0.64
2021-01-14,,,0.65
2021-01-15,0.0,,0.66
2021-01-16,0.0,,0.66
2021-01-17,0.02,,0.66
2021-01-18,0.04,,0.67
2021-01-19,0.08,,0.68
2021-01-20,0.15,,0.68
2021-01-21,0.2,,0.68
2021-01-22,0.24,,0.69
2021-01-23,0.29,,0.69
2021-01-24,0.32,,0.69
2021-01-25,0.37,,0.69
2021-01-26,0.42,,0.7
2021-01-27,0.49,,0.7
2021-01-28,0.55,,0.7
2021-01-29,0.62,,0.7
2021-01-30,0.68,,0.72
2021-01-31,0.72,,0.72
2021-02-01,0.79,,0.73
2021-02-02,0.87,,0.73
2021-02-03,0.99,,0.74
2021-02-04,1.07,,0.74
2021-02-05,1.17,,0.75
2021-02-06,1.23,,0.75
2021-02-07,1.26,,0.75
2021-02-08,1.32,,0.76
2021-02-09,1.41,,0.76
2021-02-10,1.5,,0.77
2021-02-11,1.59,,0.78
2021-02-12,1.68,,0.78
2021-02-13,1.73,0.0,0.79
2021-02-14,1.76,,0.79
2021-02-15,1.83,0.01,0.8
2021-02-16,1.9,0.02,0.82
2021-02-17,1.96,0.02,0.84
2021-02-18,2.03,0.03,0.86
2021-02-19,2.09,0.05,0.89
2021-02-20,2.14,0.06,0.9
2021-02-21,2.17,0.07,0.92
2021-02-22,2.24,0.08,0.94
2021-02-23,2.31,0.09,0.98
2021-02-24,2.38,0.11,1.03
2021-02-25,2.46,0.13,1.08
2021-02-26,2.54,0.16,1.13
2021-02-27,2.58,0.18,1.17
2021-02-28,2.61,0.18,1.2
2021-03-01,2.67,0.19,1.24
2021-03-02,2.73,0.19,1.31
2021-03-03,2.82,0.21,1.41
2021-03-04,2.89,0.23,1.52
2021-03-05,2.97,0.25,1.6
2021-03-06,3.03,0.27,1.65
2021-03-07,3.07,0.27,1.68
2021-03-08,3.13,0.29,1.73
2021-03-09,3.2,0.31,1.84
2021-03-10,3.28,0.33,1.98
2021-03-11,3.35,0.34,2.12
2021-03-12,3.44,0.37,2.25
2021-03-13,3.5,0.39,2.32
2021-03-14,3.54,0.39,2.36
2021-03-15,3.61,0.42,2.44
2021-03-16,3.69,0.45,2.58
2021-03-17,3.79,0.47,2.75
2021-03-18,3.88,0.5,2.95
2021-03-19,3.98,0.52,3.13
2021-03-20,4.04,0.54,3.27
2021-03-21,4.09,0.54,3.34
2021-03-22,4.18,0.56,3.47
2021-03-23,4.28,0.58,3.71
2021-03-24,4.39,0.6,4.07
2021-03-25,4.49,0.61,4.41
2021-03-26,4.59,0.62,4.83
2021-03-27,4.67,0.63,5.18
2021-03-28,4.73,0.64,5.4
2021-03-29,4.84,0.64,5.64
2021-03-30,4.95,0.65,6.05
2021-03-31,5.07,0.67,6.62
2021-04-01,5.18,0.69,7.27
2021-04-02,5.26,0.72,7.63
2021-04-03,5.33,0.73,7.89
2021-04-04,5.39,0.75,7.96
2021-04-05,5.48,0.78,8.06
2021-04-06,5.59,0.8,8.33
2021-04-07,5.71,0.82,8.93
2021-04-08,5.81,0.85,9.59
2021-04-09,5.92,0.88,10.25
2021-04-10,5.99,0.91,10.95
2021-04-11,6.05,0.93,11.22
2021-04-12,6.15,0.97,11.52
2021-04-13,6.23,1.0,11.98
2021-04-14,6.33,1.03,12.48
2021-04-15,6.42,1.07,13.09
2021-04-16,6.51,1.11,13.83
2021-04-17,6.57,1.16,14.56
2021-04-18,6.62,1.18,14.88
2021-04-19,6.7,1.25,15.29
2021-04-20,6.77,,15.8
2021-04-21,6.86,1.29,16.41
2021-04-22,6.94,1.38,17.04
2021-04-23,7.02,,17.72
2021-04-24,7.09,,18.53
2021-04-25,7.15,1.54,18.91
2021-04-26,7.24,1.62,19.36
2021-04-27,7.36,1.69,19.91
2021-04-28,7.51,1.76,20.59
2021-04-29,7.68,1.83,21.31
2021-04-30,7.84,1.91,21.93
2021-05-01,7.93,1.96,22.48
2021-05-02,8.01,1.97,22.73
2021-05-03,8.14,2.04,22.92
2021-05-04,8.34,2.09,23.29
2021-05-05,8.62,2.17,23.89
2021-05-06,8.89,2.26,24.58
2021-05-07,9.17,2.36,25.26
2021-05-08,9.35,2.45,25.91
2021-05-09,9.47,2.47,26.18
2021-05-10,9.7,2.58,26.52
2021-05-11,10.06,2.68,27.03
2021-05-12,10.5,2.74,27.7
2021-05-13,10.68,2.82,28.32
2021-05-14,10.95,2.86,28.9
2021-05-15,11.14,2.9,29.47
2021-05-16,11.28,2.91,29.74
2021-05-17,11.51,2.92,30.12
2021-05-18,11.96,2.94,30.6
2021-05-19,12.64,2.95,31.14
2021-05-20,13.23,2.96,31.76
2021-05-21,13.74,,32.38
2021-05-22,13.99,2.99,33.2
2021-05-23,14.17,2.99,33.57
2021-05-24,14.38,3.0,34.06
2021-05-25,14.85,3.01,34.62
2021-05-26,15.75,3.03,35.25
2021-05-27,16.51,3.04,35.89
2021-05-28,17.14,3.05,36.53
2021-05-29,17.43,3.08,37.14
2021-05-30,17.63,3.09,37.44
2021-05-31,18.08,3.1,37.73
2021-06-01,18.81,3.13,38.23
2021-06-02,19.71,3.14,38.74
2021-06-03,20.19,3.16,39.29
2021-06-04,20.8,3.19,39.86
2021-06-05,21.17,3.2,40.55
2021-06-06,21.43,3.21,40.94
2021-06-07,21.92,3.23,41.38
2021-06-08,22.84,3.25,41.84
2021-06-09,24.06,3.27,42.31
2021-06-10,25.01,3.3,42.76
2021-06-11,25.8,3.32,43.21
2021-06-12,26.16,3.34,43.68
2021-06-13,26.39,3.36,43.95
2021-06-14,26.91,3.39,44.29
2021-06-15,27.81,3.41,44.63
2021-06-16,28.94,3.44,44.97
2021-06-17,29.83,3.47,45.3
2021-06-18,30.57,3.5,45.6
2021-06-19,30.92,3.55,45.95
2021-06-20,31.18,3.57,46.11
2021-06-21,31.67,3.63,46.17
2021-06-22,32.57,3.68,46.53
2021-06-23,33.63,3.71,46.78
2021-06-24,34.26,3.76,47.04
2021-06-25,34.87,3.83,47.3
2021-06-26,35.19,3.92,47.59
2021-06-27,35.42,3.96,47.77
2021-06-28,35.87,4.01,47.97
2021-06-29,36.56,4.11,48.2
2021-06-30,37.3,4.14,48.45
2021-07-01,37.9,4.24,48.74
2021-07-02,38.44,4.26,49.0
2021-07-03,38.7,4.45,49.28
2021-07-04,38.89,4.52,49.45
2021-07-05,39.29,4.63,49.66
2021-07-06,39.94,4.7,49.89
2021-07-07,40.8,4.8,50.14
2021-07-08,41.51,5.05,50.4
2021-07-09,42.12,,50.66
2021-07-10,42.4,5.23,50.97
2021-07-11,42.58,5.26,51.13
2021-07-12,42.95,5.37,51.31
2021-07-13,43.71,5.48,51.54
2021-07-14,44.7,5.58,51.81
2021-07-15,45.41,5.69,52.11
2021-07-16,45.98,5.82,52.41
2021-07-17,46.21,5.96,52.74
2021-07-18,46.34,,52.93
2021-07-19,46.66,6.13,53.14
2021-07-20,47.28,6.23,53.37
2021-07-21,48.04,6.29,53.64
2021-07-22,48.66,6.42,53.92
2021-07-23,49.16,6.54,54.2
2021-07-24,49.34,6.66,54.49
2021-07-25,49.43,6.7,54.67
2021-07-26,49.73,6.85,54.89
2021-07-27,50.31,6.95,55.11
2021-07-28,51.03,7.04,55.36
2021-07-29,51.59,7.17,55.62
2021-07-30,52.03,7.3,55.87
2021-07-31,52.19,,56.19
2021-08-01,52.28,7.48,56.36
2021-08-02,52.54,,56.54
2021-08-03,53.03,7.69,56.75
2021-08-04,53.62,7.77,57.0
2021-08-05,54.14,7.87,57.25
2021-08-06,54.54,7.96,57.5
2021-08-07,54.69,8.07,57.81
2021-08-08,54.79,8.11,57.99
2021-08-09,55.07,8.21,58.19
2021-08-10,55.52,8.29,58.41
2021-08-11,56.06,8.37,58.66
2021-08-12,56.5,,58.95
2021-08-13,56.85,8.56,59.2
2021-08-14,57.0,8.7,59.49
2021-08-15,57.09,,59.68
2021-08-16,57.31,8.74,59.88
2021-08-17,57.64,8.83,60.09
2021-08-18,58.01,8.93,60.34
2021-08-19,58.3,9.01,60.6
2021-08-20,58.53,9.12,60.84
2021-08-21,58.62,9.19,61.13
2021-08-22,58.68,9.3,61.3
2021-08-23,58.85,9.33,61.49
2021-08-24,59.08,9.46,61.68
2021-08-25,59.33,9.66,61.92
2021-08-26,59.54,9.78,62.13
2021-08-27,59.71,10.01,62.33
2021-08-28,59.79,10.22,62.52
2021-08-29,59.85,10.37,62.64
2021-08-30,59.97,10.49,62.74
2021-08-31,60.15,10.61,62.91
2021-09-01,60.35,10.9,63.08
2021-09-02,60.52,11.06,63.25
2021-09-03,60.66,11.19,63.41
2021-09-04,60.72,11.25,63.6
2021-09-05,60.76,11.42,63.71
2021-09-06,60.85,11.53,63.83
2021-09-07,61.0,11.75,63.95
2021-09-08,61.17,11.99,64.08
2021-09-09,61.33,12.22,64.22
2021-09-10,61.47,12.28,64.36
2021-09-11,61.54,12.52,64.5
2021-09-12,61.58,12.7,64.58
2021-09-13,61.68,12.94,64.67
2021-09-14,61.83,12.99,64.77
2021-09-15,62.02,13.24,64.86
2021-09-16,62.19,13.53,64.95
2021-09-17,62.33,13.73,65.04
2021-09-18,62.41,14.27,65.15
2021-09-19,62.45,14.54,65.2
2021-09-20,62.55,14.76,65.27
2021-09-21,62.7,15.03,65.33
2021-09-22,62.88,15.19,65.4
2021-09-23,63.05,15.5,65.46
2021-09-24,63.19,15.81,65.53
2021-09-25,63.26,15.97,65.6
2021-09-26,63.29,16.09,65.63
2021-09-27,63.39,16.47,65.68
2021-09-28,63.53,16.61,65.73
2021-09-29,63.68,16.82,65.78
2021-09-30,63.82,17.04,65.83
2021-10-01,63.9,17.26,65.88
2021-10-02,63.91,17.51,65.93
2021-10-03,63.92,17.68,65.96
2021-10-04,63.97,17.86,66.01
2021-10-05,64.1,18.09,66.05
2021-10-06,64.23,18.27,66.09
2021-10-07,64.37,18.39,66.13
2021-10-08,64.45,18.66,66.18
2021-10-09,64.48,18.93,66.22
2021-10-10,64.48,19.21,66.25
2021-10-11,64.54,19.35,66.29
2021-10-12,64.65,19.57,66.33
2021-10-13,64.77,19.73,66.37
2021-10-14,64.89,19.82,66.41
2021-10-15,64.97,19.93,66.45
2021-10-16,65.0,20.0,66.5
2021-10-17,65.0,20.15,66.53
2021-10-18,65.05,20.26,66.56
2021-10-19,65.16,20.6,66.61
2021-10-20,65.27,20.92,66.65
2021-10-21,65.38,21.07,66.69
2021-10-22,65.45,21.35,66.73
2021-10-23,65.47,21.5,66.77
2021-10-24,65.48,21.86,66.8
2021-10-25,65.53,21.94,66.83
2021-10-26,65.64,22.23,66.86
2021-10-27,65.75,22.47,66.9
2021-10-28,65.86,22.74,66.93
2021-10-29,65.93,23.15,66.96
2021-10-30,65.95,23.44,67.0
2021-10-31,65.96,23.62,67.02
2021-11-01,65.98,23.83,67.05
2021-11-02,66.07,23.92,67.08
2021-11-03,66.16,24.15,67.11
2021-11-04,66.27,24.24,67.14
2021-11-05,66.33,24.27,67.17
2021-11-06,66.35,24.39,67.2
2021-11-07,66.36,24.54,67.23
2021-11-08,66.41,24.79,67.26
2021-11-09,66.5,24.99,67.29
2021-11-10,66.6,25.28,67.36
2021-11-11,66.7,25.54,67.39
2021-11-12,66.77,26.0,67.42
2021-11-13,66.79,26.39,67.46
2021-11-14,66.79,26.57,67.48
2021-11-15,66.84,26.77,67.51
2021-11-16,66.93,27.1,67.54
2021-11-17,67.01,27.47,67.57
2021-11-18,67.11,27.86,67.6
2021-11-19,67.18,28.09,67.63
2021-11-20,67.21,28.59,67.67
2021-11-21,67.21,28.78,67.69
2021-11-22,67.26,29.15,67.72
2021-11-23,67.36,29.55,67.75
2021-11-24,67.46,30.05,67.78
2021-11-25,67.57,30.29,67.82
2021-11-26,67.65,30.87,67.85
2021-11-27,67.7,30.96,67.9
2021-11-28,67.71,31.47,67.94
2021-11-29,67.77,31.73,67.98
2021-11-30,67.87,32.15,68.03
2021-12-01,67.98,32.57,68.07
2021-12-02,68.09,33.11,68.12
2021-12-03,68.17,33.4,68.16
2021-12-04,68.23,34.02,68.22
2021-12-05,68.24,34.26,68.26
2021-12-06,68.31,34.51,68.3
2021-12-07,68.41,34.92,68.34
2021-12-08,68.52,35.32,68.38
2021-12-09,68.64,35.75,68.43
2021-12-10,68.74,35.95,68.48
2021-12-11,68.81,36.75,68.53
2021-12-12,68.83,36.94,68.58
2021-12-13,68.9,37.14,68.62
2021-12-14,69.04,37.7,68.68
2021-12-15,69.19,38.03,68.73
2021-12-16,69.35,38.25,68.8
2021-12-17,69.49,38.74,68.86
2021-12-18,69.58,39.16,68.93
2021-12-19,69.61,39.34,68.98
2021-12-20,69.72,39.54,69.06
2021-12-21,69.88,40.0,69.14
2021-12-22,70.03,40.14,69.22
2021-12-23,70.12,40.54,69.28
2021-12-24,70.13,40.89,69.3
2021-12-25,70.13,41.4,69.3
2021-12-26,70.13,41.44,69.31
2021-12-27,70.21,41.63,69.34
2021-12-28,70.31,42.05,69.38
2021-12-29,70.39,42.55,69.45
2021-12-30,70.46,42.74,69.51
2021-12-31,70.46,43.29,69.54
2022-01-01,70.47,43.57,69.55
2022-01-02,70.48,43.7,69.57
2022-01-03,70.56,43.92,69.62
2022-01-04,70.67,44.1,69.68
2022-01-05,70.81,44.33,69.74
2022-01-06,70.92,44.56,69.79
2022-01-07,71.06,44.92,69.84
2022-01-08,71.16,45.0,69.92
2022-01-09,71.2,45.32,69.96
2022-01-10,71.3,45.52,70.0
2022-01-11,71.45,45.94,70.04
2022-01-12,71.61,46.15,70.09
2022-01-13,71.76,46.47,70.13
2022-01-14,71.89,46.57,70.18
2022-01-15,71.98,46.9,70.27
2022-01-16,72.01,47.08,70.32
2022-01-17,72.1,47.27,70.36
2022-01-18,72.21,47.28,70.4
2022-01-19,72.34,47.91,70.45
2022-01-20,72.47,48.22,70.5
2022-01-21,72.58,48.59,70.54
2022-01-22,72.65,48.9,70.61
2022-01-23,72.68,49.12,70.66
2022-01-24,72.76,49.17,70.7
2022-01-25,72.86,49.46,70.75
2022-01-26,72.96,49.71,70.79
2022-01-27,73.08,49.84,70.84
2022-01-28,73.18,50.1,70.88
2022-01-29,73.24,50.33,70.94
2022-01-30,73.26,50.62,70.98
2022-01-31,73.32,50.95,71.02
2022-02-01,73.39,51.25,71.06
2022-02-02,73.47,51.53,71.1
2022-02-03,73.55,51.75,71.14
2022-02-04,73.64,52.01,71.18
2022-02-05,73.7,52.31,71.22
2022-02-06,73.72,52.43,71.25
2022-02-07,73.77,52.43,71.28
2022-02-08,73.84,52.84,71.32
2022-02-09,73.91,53.15,71.35
2022-02-10,73.98,53.17,71.39
2022-02-11,74.05,53.67,71.43
2022-02-12,74.09,53.84,71.47
2022-02-13,74.11,54.07,71.49
2022-02-14,74.14,54.17,71.51
2022-02-15,74.2,54.51,71.54
2022-02-16,74.25,54.65,71.57
2022-02-17,74.3,54.94,71.61
2022-02-18,74.36,55.16,71.63
2022-02-19,74.39,55.36,71.66
2022-02-20,74.4,55.47,71.67
2022-02-21,74.44,55.61,71.7
2022-02-22,74.48,55.82,71.72
2022-02-23,74.53,55.95,71.75
2022-02-24,74.57,56.14,71.77
2022-02-25,74.61,56.35,71.8
2022-02-26,74.64,56.57,71.82
2022-02-27,74.64,56.65,71.84
2022-02-28,74.66,56.74,71.86
2022-03-01,74.69,56.82,71.88
2022-03-02,74.72,56.92,71.9
2022-03-03,74.76,57.11,71.93
2022-03-04,74.79,57.27,71.95
2022-03-05,74.8,57.44,71.98
2022-03-06,74.81,57.5,72.0
2022-03-07,74.82,57.58,72.02
2022-03-08,74.85,57.72,72.04
2022-03-09,74.87,57.84,72.06
2022-03-10,74.89,57.95,72.08
2022-03-11,74.92,58.12,72.1
2022-03-12,74.93,58.19,72.13
2022-03-13,74.93,58.27,72.15
2022-03-14,74.94,58.38,72.17
2022-03-15,74.96,58.48,72.19
2022-03-16,74.98,58.6,72.21
2022-03-17,75.0,58.68,72.24
2022-03-18,75.01,58.73,72.26
2022-03-19,75.02,58.77,72.28
2022-03-20,75.02,58.81,72.3
2022-03-21,75.04,58.88,72.32
2022-03-22,75.05,58.95,72.33
2022-03-23,75.07,59.05,72.34
2022-03-24,75.08,59.14,72.36
2022-03-25,75.1,59.19,72.38
2022-03-26,75.11,59.3,72.4
2022-03-27,75.11,59.34,72.42
2022-03-28,75.12,59.39,72.43
2022-03-29,75.13,59.44,72.45
2022-03-30,75.15,59.56,72.47
2022-03-31,75.16,59.66,72.49
2022-04-01,75.17,59.7,72.5
2022-04-02,75.18,,72.53
2022-04-03,75.18,,72.54
2022-04-04,75.19,59.83,72.56
2022-04-05,75.2,59.89,72.57
2022-04-06,75.21,59.97,72.59
2022-04-07,75.22,60.02,72.6
2022-04-08,75.23,60.07,72.62
2022-04-09,75.24,60.13,72.64
2022-04-10,75.24,60.16,72.66
2022-04-11,75.24,60.2,72.67
2022-04-12,75.25,60.29,72.69
2022-04-13,75.26,60.32,72.71
2022-04-14,75.26,60.39,72.73
2022-04-15,75.26,60.4,72.74
2022-04-16,75.27,,72.75
2022-04-17,75.27,,72.76
2022-04-18,75.27,60.54,72.76
2022-04-19,75.27,60.64,72.78
2022-04-20,75.28,60.67,72.79
2022-04-21,75.28,60.75,72.81
2022-04-22,75.29,60.84,72.83
2022-04-23,75.3,,72.85
2022-04-24,75.3,61.01,72.86
2022-04-25,75.3,61.05,72.87
2022-04-26,75.31,61.17,72.89
2022-04-27,75.32,61.28,72.9
2022-04-28,75.33,61.39,72.91
2022-04-29,75.34,61.55,72.93
2022-04-30,75.34,61.63,72.95
2022-05-01,75.34,61.74,72.96
2022-05-02,75.35,61.78,72.96
2022-05-03,75.35,61.86,72.97
2022-05-04,75.36,61.9,72.98
2022-05-05,75.37,61.98,73.0
2022-05-06,75.37,62.07,73.01
2022-05-07,75.37,62.17,73.03
2022-05-08,75.37,62.26,73.04
2022-05-09,75.38,62.33,73.05
2022-05-10,75.38,62.41,73.07
2022-05-11,75.39,62.49,73.08
2022-05-12,75.39,62.57,73.09
2022-05-13,75.39,62.65,73.1
2022-05-14,75.4,62.73,73.12
2022-05-15,75.4,62.8,73.13
2022-05-16,75.4,62.82,73.14
2022-05-17,75.4,62.88,73.14
2022-05-18,75.41,62.95,73.15
2022-05-19,75.41,63.03,73.16
2022-05-20,75.42,63.11,73.17
2022-05-21,75.42,63.18,73.19
2022-05-22,75.42,63.25,73.2
2022-05-23,75.42,63.29,73.2
2022-05-24,75.43,63.36,73.21
2022-05-25,75.43,63.42,73.22
2022-05-26,75.43,63.49,73.25
2022-05-27,75.43,63.57,73.26
2022-05-28,75.43,63.64,73.28
2022-05-29,75.43,63.69,73.29
2022-05-30,75.44,63.71,73.3
2022-05-31,75.44,63.77,73.31
2022-06-01,75.44,63.87,73.32
2022-06-02,75.45,63.89,73.33
2022-06-03,75.45,63.95,73.33
2022-06-04,75.45,64.01,73.34
2022-06-05,75.45,64.06,73.34
2022-06-06,75.45,64.08,73.35
2022-06-07,75.45,64.15,73.36
2022-06-08,75.46,64.22,73.37
2022-06-09,75.46,64.3,73.37
2022-06-10,75.46,64.38,73.38
2022-06-11,75.46,64.45,73.4
2022-06-12,75.46,64.53,73.41
2022-06-13,75.47,64.59,73.41
2022-06-14,75.47,64.66,73.42
2022-06-15,75.47,64.73,73.43
2022-06-16,75.47,64.8,
2022-06-17,75.48,64.88,
2022-06-18,75.48,64.95,
2022-06-19,75.48,65.0,
2022-06-20,75.48,65.02,
2022-06-21,75.48,65.09,
2022-06-22,75.48,65.15,
2022-06-23,,65.22,
